GAMBOL,SLAKE,DanceDanceRevolution 2nd Mix,102,,,gamb,0 2 4 9 0 0 4 8 0 0
Be in my paradise,JJ COMPANY,DanceDanceRevolution 2nd Mix,63,,,bein,1 1 3 7 0 0 3 7 12 0
LOVE SO GROOVY,LOVEMINTS,DanceDanceRevolution 2nd Mix,141,,,sogr,0 3 4 8 0 0 4 8 0 0
Salamander Beat Crush mix,nite system,DanceDanceRevolution 2nd Mix,134,,,sala,0 6 9 10 0 0 6 9 0 0
20,november,DJ nagureo,DanceDanceRevolution 2nd Mix,130,Touhou ,,twen,1 5 7 12 0 0 6 12 13 0
Dr. LOVE,baby weapon feat. Asuka.M,DanceDanceRevolution 2nd Mix,123,,,drlo,1 5 7 9 0 0 5 6 9 0
g.m.d.,DJ mazinger featuring Muhammad,DanceDanceRevolution 2nd Mix,100,,,gmdd,0 5 5 8 0 0 5 8 0 0
melt in my arms,Honey P feat.Asuka.M,DanceDanceRevolution 2nd Mix,118,,,melt,0 5 7 8 0 0 5 7 0 0
diving money,QUADRA,DanceDanceRevolution 2nd Mix,150,,,divi,0 6 7 11 0 0 7 11 0 0
PERFECT FREE,nite system,DanceDanceRevolution 2nd Mix,130,,,perf,0 6 8 10 0 0 8 10 0 0
R3,tiger YAMATO,DanceDanceRevolution 2nd Mix,157,Touhou ,,rthr,3 5 6 10 0 0 6 9 10 0
22DUNK,SLAKE,DanceDanceRevolution 2nd Mix,135,,,dunk,0 7 9 9 0 0 8 9 0 0
Deep clear eyes,QUADRA,DanceDanceRevolution 2nd Mix,155,,,deep,0 6 7 10 0 0 7 10 0 0
ska a go go,THE BALD HEADS,DanceDanceRevolution 2nd Mix,144-160,Touhou ,,skaa,3 6 14 14 0 0 8 14 15 0
special energy,DJ FX,DanceDanceRevolution 2nd Mix,140,,,spec,0 6 8 9 0 0 6 8 0 0
Prince on a star,SPIRITUAL RIDE,DanceDanceRevolution 2nd Mix,145,,,prin,0 6 7 9 0 0 8 10 0 0
celebrate,JJ COMPANY,DanceDanceRevolution 2nd Mix,134,,,cele,2 6 7 11 0 0 6 10 10 0
GRADIUSIC CYBER,TAKA,DanceDanceRevolution 2nd Mix,160,,,grad,0 8 11 13 0 0 8 12 14 0
LUV TO ME (disco mix),tiger YAMATO,DanceDanceRevolution 2nd Mix,154,Touhou ,,luvt,2 5 8 13 0 0 5 8 11 0
YOU MAKE ME,MONDAY MICHIRU,DanceDanceRevolution 2nd Mix,110,Anime_Game ,,youm,0 4 5 8 0 0 5 7 0 0
been so long,m-flo,DanceDanceRevolution 2nd Mix,96,,,been,0 4 5 7 0 0 5 6 0 0
The Theme from Flojack,m-flo,DanceDanceRevolution 2nd Mix,93,Anime_Game ,,floj,0 3 5 7 0 0 5 7 0 0
The rhyme brokers,m-flo,DanceDanceRevolution 2nd Mix,91,Anime_Game ,,ther,0 5 6 9 0 0 6 9 0 0
patsenner,dj nagureo,DanceDanceRevolution 2nd Mix,108,,,pats,0 5 7 10 0 0 7 10 0 0
Queen's Jamaica (astria mix),Crunky boy (featuring Muhammad),DanceDanceRevolution 2nd Mix,94,,,quee,0 5 7 9 0 0 7 9 0 0
Into the world,QUADRA,DanceDanceRevolution 2nd Mix,126,,,into,0 4 6 9 0 0 6 9 0 0
DEEP IN YOU,dj nagureo,DanceDanceRevolution 2nd Mix,126,,,inyo,0 7 9 11 0 0 9 11 0 0
gentle stress,DJ Swan,DanceDanceRevolution 2nd Mix,175,,,gent,0 8 12 13 0 0 8 12 0 0
KEEP ON MOVIN' (CLUB VER.),N.M.R.,DanceDanceRevolution 2nd Mix,132,,,ckee,0 5 7 10 0 0 5 8 0 0
Macho Gang,ANAL SPYDER,DanceDanceRevolution 2nd Mix,125,Touhou ,,mach,2 6 8 11 0 0 6 8 11 0
PARANOiA MAX ～DIRTY MIX～ (CLUB VER.),190,DanceDanceRevolution 2nd Mix,190,,,cpar,0 8 9 12 0 0 9 11 0 0
RUGGED ASH,SYMPHONIC DEFOGGERS,DanceDanceRevolution 2nd Mix,168,,,rugg,0 6 9 11 0 0 6 9 0 0
BRILLIANT 2U (CLUB VER.),NAOKI,DanceDanceRevolution 2nd Mix,150,,,cbri,0 6 8 11 0 0 6 10 0 0
ちょっときいてな (ZANSHIN-NA MIX),Laugh & Peace,DanceDanceRevolution 2nd Mix,164,,,chot,0 5 6 10 0 0 6 10 0 0
THE EARTH LIGHT,L.E.D. LIGHT,DanceDanceRevolution 2nd Mix,145,,,nazo,0 7 8 11 0 0 8 10 11 0
It's Like That,♪♪♪♪♪,DanceDanceRevolution 2nd Mix,129,,,blike,0 4 6 7 0 0 4 6 0 0
Last Thing On My Mind,♪♪♪♪♪,DanceDanceRevolution 2nd Mix,130,? ,,blast,0 5 7 11 0 0 5 7 0 0
